id,source,link
21881,1980 - 1990,Spanish
21882,1980 - 1990,1984
21883,1984,"Неруда, Пабло: [Поезії], № 08"
21884,1980 - 1990,Chile
21885,1980 - 1990,Spanish
21886,1980 - 1990,1980
21887,1980,"Пісарро, Ана: [Поезії], № 03"
21888,1980 - 1990,Chile
21889,1980 - 1990,Spanish
21890,1980 - 1990,1981
21891,1981,"Родрігес, Арнальдо: Звернення до пролетарів усіх країн, № 06"
21892,1980 - 1990,Chile
21893,1980 - 1990,Spanish
21894,1980 - 1990,1981
21895,1981,"Родрігес, Арнальдо: Два на два: [Вірші], № 06"
21896,1980 - 1990,Chile
21897,1980 - 1990,Spanish
21898,1980 - 1990,1981
21899,1981,"Рохас, Гонсало: З-під землі: [Вірш], № 06"
21900,1970 - 1980,Chile
21901,1970 - 1980,Spanish
21902,1970 - 1980,1975
21903,1975,"Сабелья, Андрес: [Поезії], № 05"
21904,1980 - 1990,Chile
21905,1980 - 1990,Spanish
21906,1980 - 1990,1981
21907,1981,"Суарес, Еулохіо: Намір: [Вірш], № 06"
21908,1990 - 2000,Chile
21909,1990 - 2000,Spanish
21910,1990 - 2000,1999
21911,1999,"Супельведа, Луїс: Історія німого кохання, № 9/10"
21912,1990 - 2000,Chile
21913,1990 - 2000,Spanish
21914,1990 - 2000,1999
21915,1999,"Супельведа, Луїс: Зустріч по той бік часу: Оповідання, № 9/10"
21916,1980 - 1990,Chile
21917,1980 - 1990,Spanish
21918,1980 - 1990,1981
21919,1981,"Торрес Гарсіа, Антоніо: «Під забороною поезія моя...»: [Вірш], № 06"
21920,1950 - 1960,Chile
21921,1950 - 1960,Spanish
21922,1950 - 1960,1959
21923,1959,"Уррутіа, Пракседес: Щоб ти, синку, з миром спав: [Вірш], № 01"
21924,1970 - 1980,Chile
21925,1970 - 1980,Spanish
21926,1970 - 1980,1979
21927,1979,"Хара, Віктор: Звернення до хлібороба: [Вірш], № 05"
21928,1980 - 1990,Chile
21929,1980 - 1990,Spanish
21930,1980 - 1990,1980
21931,1980,"Хара, Віктор: Стадіон Чілі: [Вірш], № 06"
21932,1980 - 1990,Sweden
21933,1980 - 1990,Swedish
21934,1980 - 1990,1988
21935,1988,"Балдерсон, Бу: Кінець партійного лідера: Роман, № 11"
21936,1980 - 1990,Sweden
21937,1980 - 1990,Swedish
21938,1980 - 1990,1988
21939,1988,"Балдерсон, Бу: Кінець партійного лідера: Роман, № 12"
21940,1960 - 1970,Sweden
21941,1960 - 1970,Swedish
21942,1960 - 1970,1964
21943,1964,"Вальфрідссон, Віллі: Бродяга: Роман, № 07"
21944,1990 - 2000,Sweden
21945,1990 - 2000,Swedish
21946,1990 - 2000,1995
21947,1995,"Курман, Пітер: [Поезії], № 3/4"
21948,1950 - 1960,Sweden
21949,1950 - 1960,Swedish
21950,1950 - 1960,1958
21951,1958,"Лагерлеф, Сельма: Дім Лільєкруни: Розд. з роману, № 05"
21952,1990 - 2000,Sweden
21953,1990 - 2000,Swedish
21954,1990 - 2000,1998
21955,1998,"Ланг, Марія: Брешуть не тільки вбивці: Роман, № 07"
21956,1970 - 1980,Sweden
21957,1970 - 1980,Swedish
21958,1970 - 1980,1971
21959,1971,"Лідман, Сара: Острів: Роман, № 08"
21960,1960 - 1970,Sweden
21961,1960 - 1970,Swedish
21962,1960 - 1970,1962
21963,1962,"Лу-Юхансон, Івар: Солдат: Автобіогр. роман, № 10"
21964,1980 - 1990,Sweden
21965,1980 - 1990,Swedish
21966,1980 - 1990,1985
21967,1985,"Мортенсон, Ян: Смерть ходить по музею: Пригоди, роман, № 09"
21968,1980 - 1990,Sweden
21969,1980 - 1990,Swedish
21970,1980 - 1990,1985
21971,1985,"Мортенсон, Ян: Смерть ходить по музею: Пригоди, роман, № 10"
21972,1990 - 2000,Sweden
21973,1990 - 2000,Swedish
21974,1990 - 2000,2000
21975,2000,"Мортенсон, Ян: Таємниця мексиканських божків смерті: Роман, № 5/6"
21976,1990 - 2000,Sweden
21977,1990 - 2000,Swedish
21978,1990 - 2000,1999
21979,1999,"Сандельс, Маріанне: [Поезії], № 08"
21980,1970 - 1980,Switzerland. Literature in German
21981,1970 - 1980,German
21982,1970 - 1980,1970
21983,1970,"Бехер, Ульріх: Йозуа був не войовник: Оповідання, № 12"
21984,1960 - 1970,Switzerland. Literature in German
21985,1960 - 1970,German
21986,1960 - 1970,1969
21987,1969,"Бехер, Ульріх: Просто скажений собака, № 09"
21988,1960 - 1970,Switzerland. Literature in German
21989,1960 - 1970,German
21990,1960 - 1970,1969
21991,1969,"Бехер, Ульріх: Роман: Оповідання, № 09"
21992,1970 - 1980,Switzerland. Literature in German
21993,1970 - 1980,German
21994,1970 - 1980,1974
21995,1974,"Біхсель [Біксель], Петер: Америки немає: Оповідання, № 06"
21996,1990 - 2000,Switzerland. Literature in German
21997,1990 - 2000,German
21998,1990 - 2000,1994
21999,1994,"Біхсель [Біксель], Петер: Дитячі історії, № 02"
22000,1980 - 1990,Switzerland. Literature in German
22001,1980 - 1990,German
22002,1980 - 1990,1982
22003,1982,"Вальзер, Роберт: Полегшення, № 03"
22004,1980 - 1990,Switzerland. Literature in German
22005,1980 - 1990,German
22006,1980 - 1990,1982
22007,1982,"Вальзер, Роберт: «Дивиться місяць з небес...»: [Поезії], № 03"
22008,1980 - 1990,Switzerland. Literature in German
22009,1980 - 1990,German
22010,1980 - 1990,1983
22011,1983,"Вальтер, Отто: Як із бетону трава пророста: Роман, № 10"
22012,1970 - 1980,Switzerland. Literature in German
22013,1970 - 1980,German
22014,1970 - 1980,1977
22015,1977,"Гессе, Герман: [Поезії], № 05"
22016,1980 - 1990,Switzerland. Literature in German
22017,1980 - 1990,German
22018,1980 - 1990,1984
22019,1984,"Гессе, Герман: [Поезії], № 12"
22020,1990 - 2000,Switzerland. Literature in German
22021,1990 - 2000,German
22022,1990 - 2000,1990
22023,1990,"Гессе, Герман: Сіддхартха: Повість, № 03"
22024,1970 - 1980,Switzerland. Literature in German
22025,1970 - 1980,German
22026,1970 - 1980,1977
22027,1977,"Гессе, Герман: Степовий вовк: Роман, № 04"
22028,1970 - 1980,Switzerland. Literature in German
22029,1970 - 1980,German
22030,1970 - 1980,1977
22031,1977,"Гессе, Герман: Степовий вовк: Роман, № 05"
22032,1990 - 2000,Switzerland. Literature in German
22033,1990 - 2000,German
22034,1990 - 2000,1994
22035,1994,"Глаузер, Фрідріх: Вахмістр Штудер: Кримінал. роман, № 02"
22036,1990 - 2000,Switzerland. Literature in German
22037,1990 - 2000,German
22038,1990 - 2000,1994
22039,1994,"Голер, Франц: [Поезії], № 02"
22040,1980 - 1990,Switzerland. Literature in German
22041,1980 - 1990,German
22042,1980 - 1990,1982
22043,1982,"Гросс, Вальтер: [Поезії], № 03"
22044,1970 - 1980,Switzerland. Literature in German
22045,1970 - 1980,German
22046,1970 - 1980,1976
22047,1976,"Діггельман, Вальтер Матгіас: Допит Гаррі Вінда: Роман, № 03"
22048,1990 - 2000,Switzerland. Literature in German
22049,1990 - 2000,German
22050,1990 - 2000,1994
22051,1994,"Дюрренматт, Фрідріх: Мінотавр: Балада в прозі, № 02"
22052,1980 - 1990,Switzerland. Literature in German
22053,1980 - 1990,German
22054,1980 - 1990,1987
22055,1987,"Дюрренматт, Фрідріх: Правосуддя: Роман, № 09"
22056,1960 - 1970,Switzerland. Literature in German
22057,1960 - 1970,German
22058,1960 - 1970,1961
22059,1961,"Дюрренматт, Фрідріх: Страніцкі і національний герой: Радіо-п’єса, № 09"
22060,1970 - 1980,Switzerland. Literature in German
22061,1970 - 1980,German
22062,1970 - 1980,1974
22063,1974,"Єггі, Урс: Фотограф: Оповідання, № 06"
22064,1980 - 1990,Switzerland. Literature in German
22065,1980 - 1990,German
22066,1980 - 1990,1986
22067,1986,"Кауер, Вальтер: Пральний день: Оповідання, № 08"
22068,1980 - 1990,Switzerland. Literature in German
22069,1980 - 1990,German
22070,1980 - 1990,1982
22071,1982,"Марті, Курт: [Поезії], № 03"
22072,1980 - 1990,Switzerland. Literature in German
22073,1980 - 1990,German
22074,1980 - 1990,1986
22075,1986,"Марті, Курт: Франц Відеркер захищає свою репутацію: Оповідання, № 04"
22076,1980 - 1990,Switzerland. Literature in German
22077,1980 - 1990,German
22078,1980 - 1990,1986
22079,1986,"Мушг, Адольф: Тринадцяте травня: Оповідання, № 04"
22080,1990 - 2000,Switzerland. Literature in German
22081,1990 - 2000,German
22082,1990 - 2000,1994
22083,1994,"Фаес, Урс: [Поезії], № 02"
22084,1970 - 1980,Switzerland. Literature in German
22085,1970 - 1980,German
22086,1970 - 1980,1972
22087,1972,"Фріш, Макс: Китайський мур: Фарс, № 04"
22088,1960 - 1970,Switzerland. Literature in German
22089,1960 - 1970,German
22090,1960 - 1970,1968
22091,1968,"Фріш, Макс: Штіллер: Роман, № 03"
22092,1960 - 1970,Switzerland. Literature in German
22093,1960 - 1970,German
22094,1960 - 1970,1968
22095,1968,"Фріш, Макс: Штіллер: Роман, № 04"
22096,1960 - 1970,Switzerland. Literature in German
22097,1960 - 1970,German
22098,1960 - 1970,1968
22099,1968,"Фріш, Макс: Штіллер: Роман, № 05"
22100,1980 - 1990,Switzerland. Literature in German
22101,1980 - 1990,German
22102,1980 - 1990,1988
22103,1988,"Холер, Франц: Околиця Остермундігена: Оповідання, № 10"
22104,1980 - 1990,Switzerland. Literature in German
22105,1980 - 1990,German
22106,1980 - 1990,1986
22107,1986,"Холер, Франц: Реванш: Оповідання, № 04"
22108,1980 - 1990,Switzerland. Literature in German
22109,1980 - 1990,German
22110,1980 - 1990,1982
22111,1982,"Цоллінгер, Альбін: [Поезії], № 03"
22112,1960 - 1970,Switzerland. Literature in German
22113,1960 - 1970,German
22114,1960 - 1970,1963
22115,1963,"Штайгер, Отто: Мандрівка до моря: Роман, № 03"
22116,1970 - 1980,Switzerland. Literature in German
22117,1970 - 1980,German
22118,1970 - 1980,1974
22119,1974,"Штайгер, Отто: Руденц, № 06"
22120,1970 - 1980,Switzerland. Literature in German
22121,1970 - 1980,German
22122,1970 - 1980,1974
22123,1974,"Штайгер, Отто: Порожня пляшка: Оповідання, № 06"
22124,1970 - 1980,Switzerland. Literature in German
22125,1970 - 1980,German
22126,1970 - 1980,1974
22127,1974,"Штайнер, Йорг: Можливо, це була жирафа: Оповідання, № 06"
22128,1980 - 1990,Switzerland. Literature in German
22129,1980 - 1990,German
22130,1980 - 1990,1986
22131,1986,"Штайнер, Йорг: Нагода для втечі: Оповідання, № 04"
22132,1980 - 1990,Switzerland. Literature in German
22133,1980 - 1990,German
22134,1980 - 1990,1981
22135,1981,"Штеенкен, Едуард: Не шукайте тут щастя, № 09"
22136,1980 - 1990,Switzerland. Literature in German
22137,1980 - 1990,German
22138,1980 - 1990,1981
22139,1981,"Штеенкен, Едуард: Бджолиний мед і паркетне дерево, № 09"
22140,1980 - 1990,Switzerland. Literature in German
22141,1980 - 1990,German
22142,1980 - 1990,1981
22143,1981,"Штеенкен, Едуард: Семінар, № 09"
22144,1980 - 1990,Switzerland. Literature in German
22145,1980 - 1990,German
22146,1980 - 1990,1981
22147,1981,"Штеенкен, Едуард: Піхере-77, № 09"
22148,1980 - 1990,Switzerland. Literature in German
22149,1980 - 1990,German
22150,1980 - 1990,1981
22151,1981,"Штеенкен, Едуард: Щастя у кронах дерев: Гумор, оповід, № 09"
22152,1990 - 2000,Switzerland. Literature in French
22153,1990 - 2000,French
22154,1990 - 2000,1994
22155,1994,"Віредаз, Крістіан: [Поезії], № 02"
22156,1980 - 1990,Switzerland. Literature in French
22157,1980 - 1990,French
22158,1980 - 1990,1982
22159,1982,"Вуазар, Александр: [Поезії], № 03"
22160,1980 - 1990,Switzerland. Literature in French
22161,1980 - 1990,French
22162,1980 - 1990,1982
22163,1982,"Жакоте, Філіпп: [Поезії], № 03"
22164,1980 - 1990,Switzerland. Literature in French
22165,1980 - 1990,French
22166,1980 - 1990,1982
22167,1982,"Перреле, Олів’є: [Поезії*], № 03"
22168,1980 - 1990,Switzerland. Literature in French
22169,1980 - 1990,French
22170,1980 - 1990,1982
22171,1982,"Рамю, Шарль-Фердінанд: [Поезії], № 03"
22172,1990 - 2000,Switzerland. Literature in French
22173,1990 - 2000,French
22174,1990 - 2000,1994
22175,1994,"Санчі, Мадлен: Мандрівка з Мітелем Бютором: Урив, з кн, № 02"
22176,1980 - 1990,Switzerland. Literature in French
22177,1980 - 1990,French
22178,1980 - 1990,1982
22179,1982,"Трольє, Жільбер: [Поезії*], № 03"
22180,1980 - 1990,Switzerland. Literature in Spanish
22181,1980 - 1990,Italian
22182,1980 - 1990,1982
22183,1982,"К’єза, Франческо: «Народе, твій закон -лише в тобі...», № 03"
22184,1980 - 1990,Switzerland. Literature in Spanish
22185,1980 - 1990,Italian
22186,1980 - 1990,1982
22187,1982,"К’єза, Франческо: «Весняний вечір дихає весною...»: [Поезії], № 03"
22188,1990 - 2000,Switzerland. Literature in Spanish
22189,1990 - 2000,Italian
22190,1990 - 2000,1994
22191,1994,"Машьоні, Грицько: Горкгаймерові горобці: [Вірш], № 02"
22192,1970 - 1980,Switzerland. Literature in Spanish
22193,1970 - 1980,Italian
22194,1970 - 1980,1970
22195,1970,"Моска, Анна: Гаряча пора: Повість, № 10"
22196,1990 - 2000,Switzerland. Literature in Rhaeto-Romance Language
22197,1990 - 2000,Rhaeto-Romance
22198,1990 - 2000,1994
22199,1994,"Барблан, Гуденх: A la Lingua matern, № 02"
22200,1990 - 2000,Switzerland. Literature in Rhaeto-Romance Language
22201,1990 - 2000,Rhaeto-Romance
22202,1990 - 2000,1994
22203,1994,"Барблан, Гуденх: До материнської* мови [Поезії], № 02"
22204,1990 - 2000,Switzerland. Literature in Rhaeto-Romance Language
22205,1990 - 2000,Rhaeto-Romance
22206,1990 - 2000,1994
22207,1994,"Кадоч, Петер: Досить світла: [Вірш], № 02"
22208,1980 - 1990,Switzerland. Literature in Rhaeto-Romance Language
22209,1980 - 1990,Rhaeto-Romance
22210,1980 - 1990,1982
22211,1982,"Пеер, Андрі [Ендрі]: [Поезії], № 03"
22212,1990 - 2000,Switzerland. Literature in Rhaeto-Romance Language
